yil,aldigi_sehir,sehir,sayi
2014,Artvin,Karaman,17
2014,Artvin,Kars,55
2014,Artvin,Kastamonu,47
2014,Artvin,Kayseri,57
2014,Artvin,Kilis,10
2014,Artvin,Kırıkkale,26
2014,Artvin,Kırklareli,23
2014,Artvin,Kırşehir,22
2014,Artvin,Kocaeli,601
2014,Artvin,Konya,105
2014,Artvin,Kütahya,42
2014,Artvin,Malatya,43
2014,Artvin,Manisa,60
2014,Artvin,Mardin,23
2014,Artvin,Mersin,90
2014,Artvin,Muğla,68
2014,Artvin,Muş,25
2014,Artvin,Nevşehir,34
2014,Artvin,Niğde,20
2014,Artvin,Ordu,163
2014,Artvin,Osmaniye,38
2014,Artvin,Rize,755
2014,Artvin,Sakarya,125
2014,Artvin,Samsun,442
2014,Artvin,Şanlıurfa,27
2014,Artvin,Siirt,24
2014,Artvin,Sinop,33
2014,Artvin,Şırnak,35
2014,Artvin,Sivas,29
2014,Artvin,Tekirdağ,62
2014,Artvin,Tokat,49
2014,Artvin,Trabzon,554
2014,Artvin,Tunceli,4
2014,Artvin,Uşak,20
2014,Artvin,Van,51
2014,Artvin,Yalova,85
2014,Artvin,Yozgat,24
2014,Artvin,Zonguldak,46
2014,Aydın,Adana,384
2014,Aydın,Adıyaman,142
2014,Aydın,Afyonkarahisar,520
2014,Aydın,Ağrı,213
2014,Aydın,Aksaray,97
2014,Aydın,Amasya,87
2014,Aydın,Ankara,1871
2014,Aydın,Antalya,1280
2014,Aydın,Ardahan,29
2014,Aydın,Artvin,74
2014,Aydın,Balıkesir,665
2014,Aydın,Bartın,35
2014,Aydın,Batman,174
2014,Aydın,Bayburt,21
2014,Aydın,Bilecik,75
2014,Aydın,Bingöl,44
2014,Aydın,Bitlis,106
2014,Aydın,Bolu,66
2014,Aydın,Burdur,227
2014,Aydın,Bursa,743
2014,Aydın,Çanakkale,392
2014,Aydın,Çankırı,60
2014,Aydın,Çorum,128
2014,Aydın,Denizli,2396
2014,Aydın,Diyarbakır,258
2014,Aydın,Düzce,67
2014,Aydın,Edirne,122
2014,Aydın,Elazığ,153
