"cinsiyet","","","yil","il","sayi",""
"","","","","İstanbul(Ataşehir)-2049","3328",""
"","","","","İstanbul(Avcılar)-2003","3718",""
"","","","","İstanbul(Bağcılar)-2004","7644",""
"","","","","İstanbul(Bahçelievler)-2005","5272",""
"","","","","İstanbul(Bakırköy)-1166","1114",""
"","","","","İstanbul(Başakşehir)-2050","3596",""
"","","","","İstanbul(Bayrampaşa)-1886","2091",""
"","","","","İstanbul(Beşiktaş)-1183","928",""
"","","","","İstanbul(Beykoz)-1185","1763",""
"","","","","İstanbul(Beylikdüzü)-2051","2070",""
"","","","","İstanbul(Beyoğlu)-1186","1854",""
"","","","","İstanbul(Büyükçekmece)-1782","1760",""
"","","","","İstanbul(Çatalca)-1237","451",""
"","","","","İstanbul(Çekmeköy)-2052","2075",""
"","","","","İstanbul(Esenler)-2016","4532",""
"","","","","İstanbul(Esenyurt)-2053","8084",""
"","","","","İstanbul(Eyüp)-1325","3023",""
"","","","","İstanbul(Fatih)-1327","2877",""
"","","","","İstanbul(Gaziosmanpaşa)-1336","4661",""
"","","","","İstanbul(Güngören)-2010","2665",""
"","","","","İstanbul(Kadıköy)-1421","2225",""
"","","","","İstanbul(Kağıthane)-1810","3676",""
"","","","","İstanbul(Kartal)-1449","3487",""
"","","","","İstanbul(Küçükçekmece)-1823","6747",""
"","","","","İstanbul(Maltepe)-2012","3393",""
"","","","","İstanbul(Pendik)-1835","6272",""
"","","","","İstanbul(Sancaktepe)-2054","3526",""
"","","","","İstanbul(Sarıyer)-1604","2064",""
"","","","","İstanbul(Şile)-1659","169",""
"","","","","İstanbul(Silivri)-1622","1242",""
"","","","","İstanbul(Şişli)-1663","1636",""
"","","","","İstanbul(Sultanbeyli)-2014","3645",""
"","","","","İstanbul(Sultangazi)-2055","5614",""
"","","","","İstanbul(Tuzla)-2015","1848",""
"","","","","İstanbul(Ümraniye)-1852","6284",""
"","","","","İstanbul(Üsküdar)-1708","3643",""
"","","","","İstanbul(Zeytinburnu)-1739","2602",""
